No escape,Age-dependant escape,Age-independant escape
26,19,26
19,5,13
5,13,81
13,30,23
30,15,10
81,23,23
15,25,14
27,19,11
23,7,12
10,14,27
23,7,18
25,5,7
19,32,25
21,11,14
7,25,24
14,12,13
7,15,19
20,18,22
5,7,80
32,19,22
11,22,30
25,22,46
12,16,31
27,19,21
29,17,49
15,31,16
19,21,13
18,34,41
7,1,51
25,32,4
14,4,6
24,6,39
14,33,22
13,21,33
19,10,43
22,20,21
80,19,10
22,10,38
16,13,19
22,1,34
30,14,13
46,9,1
58,15,15
19,5,25
23,20,43
35,7,36
17,21,6
31,6,57
21,7,36
49,33,15
31,13,33
17,3,17
16,26,28
34,17,51
13,9,9
1,9,42
41,21,22
51,30,10
13,27,27
32,24,21
4,21,30
6,6,27
39,30,8
22,11,34
33,27,39
43,39,35
21,10,29
10,20,20
38,17,6
20,6,31
19,16,44
34,6,51
10,4,24
13,16,22
1,11,4
14,11,19
9,16,16
15,33,11
5,23,16
20,26,33
7,15,23
25,43,13
30,30,26
21,11,33
19,23,18
43,39,43
36,7,33
9,15,30
6,13,29
33,19,7
57,13,17
7,14,29
33,7,13
13,39,19
36,23,39
25,8,12
15,22,14
33,1,7
3,31,30
26,28,23
8,23,19
21,11,8
35,19,22
17,10,22
38,27,30
39,16,17
28,22,39
51,20,31
45,21,27
9,32,23
42,8,19
56,29,29
15,4,10
9,38,35
21,34,39
22,26,35
30,25,10
10,19,21
19,15,33
27,18,19
24,47,37
49,22,4
21,19,47
6,18,34
30,9,64
11,32,26
19,33,29
27,7,48
8,27,50
34,4,24
39,1,29
19,23,18
35,22,29
29,23,44
10,21,35
20,14,45
17,30,14
40,13,33
6,13,48
31,21,25
44,18,27
51,11,30
43,27,51
16,13,23
24,7,29
22,25,30
6,24,53
4,17,13
19,11,13
16,15,36
11,15,45
11,11,18
18,9,27
53,6,13
16,33,35
33,7,34
23,12,7
13,25,10
26,20,25
33,3,11
18,18,5
15,32,45
43,14,11
33,31,40
17,6,9
30,7,6
29,4,43
11,20,12
23,38,20
39,10,3
7,20,28
16,18,48
17,2,49
29,28,50
53,23,14
15,27,21
13,12,6
19,18,3
39,18,7
12,15,29
14,3,4
13,15,38
33,13,10
14,17,2
7,23,28
30,15,23
39,2,27
23,24,19
19,14,27
8,29,48
22,17,15
22,12,3
36,24,27
30,6,17
1,18,39
27,24,23
32,8,15
17,36,24
8,17,14
39,13,12
40,25,12
31,18,24
21,22,6
27,12,18
28,16,36
23,16,13
11,14,25
19,16,22
29,19,12
10,12,16
35,26,35
39,22,25
35,27,41
10,3,16
27,23,12
45,29,41
16,10,27
22,24,3
20,10,29
21,10,20
32,10,10
8,30,32
49,19,10
29,22,45
33,23,45
19,20,19
57,20,24
37,17,30
4,23,51
38,17,20
32,29,43
47,11,27
17,13,19
34,4,29
64,2,31
26,7,22
25,21,34
19,15,18
15,31,14
29,15,35
48,13,15
50,29,25
24,9,31
14,32,57
29,19,15
18,17,13
26,25,56
37,24,9
44,28,32
29,29,45
47,14,17
22,3,17
19,27,24
18,33,37
44,7,31
35,21,28
36,20,37
45,17,28
9,28,33
32,18,28
14,8,47
33,19,39
48,10,44
25,29,21
7,9,14
21,22,19
46,15,9
14,5,22
27,17,19
30,23,31
20,16,5
30,24,30
4,24,17
51,9,16
1,5,58
23,25,34
22,12,55
23,24,24
21,38,9
17,11,31
14,13,5
29,4,33
30,27,25
5,10,24
53,21,12
13,14,12
29,31,13
47,7,27
13,23,33
21,11,10
36,16,17
15,28,16
45,11,54
52,17,36
18,16,15
11,35,23
30,9,23
27,23,23
13,38,11
35,10,25
34,41,25
7,17,16
10,7,28
25,30,11
11,19,25
31,19,22
5,7,16
24,32,38
17,15,33
45,10,18
41,2,9
11,26,40
15,25,51
15,24,38
15,19,10
14,27,27
47,9,17
40,9,35
11,5,33
9,12,7
31,17,30
9,2,19
6,28,19
33,16,7
39,12,15
33,16,45
29,8,32
43,25,42
46,10,41
37,30,41
22,23,25
7,13,24
12,15,12
25,39,19
20,21,18
3,8,27
28,10,55
16,42,9
18,18,40
48,25,53
32,23,5
49,4,12
50,31,17
33,15,2
21,32,16
14,10,12
31,35,8
21,21,10
6,17,30
3,23,23
7,34,41
40,12,39
29,19,37
4,11,33
20,1,10
49,12,16
38,12,18
10,8,58
12,12,25
20,32,23
26,20,4
18,25,26
2,6,32
21,23,34
30,46,10
28,4,40
45,11,35
23,23,17
27,29,23
19,3,34
12,34,34
18,44,11
27,6,1
18,6,12
48,18,45
15,21,8
3,6,12
27,26,22
15,8,13
13,24,6
17,18,19
17,7,39
39,3,22
40,11,4
23,14,23
15,18,34
2,20,18
24,29,6
14,17,6
29,16,39
17,13,18
12,17,21
12,14,6
24,18,10
35,13,25
6,15,24
18,8,18
24,15,7
8,32,11
36,19,35
17,2,20
13,9,14
34,18,29
16,24,17
25,13,16
43,11,23
22,24,14
18,20,8
22,22,23
12,24,6
16,9,19
16,9,58
35,16,24
25,17,27
41,17,23
14,5,20
16,16,22
19,20,24
12,5,9
26,16,17
41,19,30
22,13,20
27,18,5
3,4,19
23,18,18
29,7,4
10,22,39
24,35,18
29,13,24
43,3,31
32,14,22
43,32,40
20,20,18
10,28,20
32,30,20
10,31,44
45,14,25
45,13,67
19,8,25
10,16,30
24,11,31
30,24,14
19,24,50
22,24,32
23,15,51
20,37,13
51,10,31
20,24,8
43,4,11
19,16,24
50,26,24
27,8,17
19,17,15
27,4,33
17,35,15
23,6,19
19,21,24
17,26,4
33,18,16
29,30,8
11,24,23
13,6,55
31,10,35
22,25,18
4,10,24
2,17,6
18,5,10
34,15,25
51,20,10
18,11,51
14,29,25
16,14,15
19,19,20
7,27,11
26,31,32
35,15,29
21,7,14
15,21,10
25,20,19
31,28,12
16,20,35
57,16,31
36,15,23
15,39,15
13,19,7
29,8,20
56,24,31
29,9,48
9,14,13
32,27,38
19,4,30
42,37,53
45,20,22
36,13,39
17,26,29
17,8,19
25,31,8
24,16,24
37,14,9
20,19,28
31,17,14
73,22,43
28,34,20
37,29,26
29,31,8
14,8,31
28,35,16
3,23,20
27,7,17
33,3,31
28,7,30
47,32,8
39,30,23
7,36,29
44,9,7
21,18,12
20,9,30
17,13,32
28,21,28
23,8,11
18,13,28
18,21,9
14,12,18
20,4,9
40,18,24
8,21,26
19,5,20
19,29,53
10,22,4
29,32,18
9,10,21
22,32,27
19,13,25
31,16,29
15,5,10
5,15,5
5,20,15
30,37,12
17,24,28
23,14,25
16,12,17
58,28,13
34,25,10
24,13,37
55,15,32
41,10,23
24,10,11
9,16,42
31,28,13
14,23,22
5,11,26
33,22,15
25,13,37
33,23,23
24,20,16
12,26,22
13,26,26
12,16,31
31,6,25
24,27,20
38,15,25
11,14,42
31,25,3
13,3,21
4,21,9
27,13,25
33,9,37
10,25,26
30,35,38
10,26,14
47,16,48
17,31,8
28,8,13
16,13,38
32,38,11
54,11,2
21,2,47
14,28,28
31,22,34
7,6,26
36,26,4
35,4,12
15,24,4
6,26,23
23,4,28
23,40,21
43,23,13
23,28,23
11,21,9
25,13,22
25,15,33
16,9,22
27,33,30
28,11,34
11,21,12
25,30,16
22,12,37
17,34,20
16,11,9
23,20,24
35,20,24
38,9,38
33,24,7
18,7,32
9,8,8
19,25,25
23,34,10
40,27,34
37,21,27
51,11,20
38,13,11
10,17,17
27,9,23
38,23,8
41,36,23
17,8,27
35,23,19
33,14,4
7,8,25
30,27,24
19,19,12
19,4,13
7,8,29
32,24,21
26,14,23
5,26,23
29,14,40
15,24,10
19,12,40
67,22,17
10,13,20
59,25,23
45,23,27
32,17,12
42,20,31
41,27,44
2,12,24
36,31,28
41,14,35
26,34,34
25,25,16
24,34,3
12,3,20
19,47,16
18,31,47
27,7,38
27,8,25
55,34,13
9,14,12
40,16,52
9,19,30
53,15,34
37,27,36
25,8,15
14,17,8
5,9,24
29,20,26
28,23,9
12,12,20
9,14,23
17,10,12
2,19,39
28,13,23
16,26,43
12,7,36
16,42,13
8,23,36
9,16,29
25,13,26
10,8,39
30,11,29
23,6,7
13,8,51
15,11,13
41,8,64
39,23,32
55,19,36
37,24,8
49,8,19
9,4,19
40,4,24
33,27,8
21,26,40
46,9,18
8,15,24
10,16,16
42,10,48
16,28,15
18,15,7
58,32,51
25,28,16
23,27,9
23,27,32
49,31,60
4,21,9
31,10,52
22,30,27
15,5,55
26,34,37
32,14,31
34,26,65
10,21,18
40,31,30
35,30,14
21,9,26
17,14,36
29,26,31
23,10,18
36,15,36
34,20,9
12,35,50
34,3,21
19,10,26
11,20,10
1,24,20
26,8,57
12,19,3
45,9,25
12,17,25
8,15,8
12,29,19
32,37,9
37,13,17
22,24,42
20,13,19
31,25,15
13,33,29
25,29,30
33,29,13
34,9,24
6,10,56
19,26,29
39,30,9
23,3,35
22,21,10
15,25,29
46,6,40
4,20,14
11,39,26
23,3,30
29,7,38
3,28,3
34,17,21
44,10,23
18,9,25
6,16,6
6,38,20
39,9,31
18,15,26
21,24,28
6,8,17
10,14,9
25,20,23
26,12,9
8,9,15
24,23,19
18,23,20
43,14,12
7,9,9
3,10,23
24,19,23
19,27,14
11,28,9
25,36,10
35,31,30
20,18,36
14,14,31
18,35,32
20,13,18
29,36,35
17,17,19
16,36,13
13,27,36
17,5,43
23,21,5
14,3,8
18,8,18
13,22,22
15,13,13
8,4,46
15,10,19
23,25,8
32,32,39
6,8,41
13,10,10
19,14,21
38,27,52
58,26,43
64,13,27
41,13,22
34,24,47
20,17,43
2,19,17
9,6,6
18,18,35
24,3,19
72,35,13
27,33,6
13,13,9
23,6,44
11,44,40
24,18,25
20,21,24
22,28,30
24,9,15
14,34,9
9,20,18
9,14,39
16,19,31
17,27,35
12,7,54
17,5,31
29,21,34
30,19,20
5,2,22
7,26,14
40,3,32
49,12,27
16,3,31
20,23,5
49,27,21
20,7,28
5,28,35
16,15,55
19,14,12
13,18,23
18,12,16
4,15,7
26,17,28
39,30,22
18,7,24
7,31,57
24,23,12
39,14,30
31,21,30
22,23,7
25,21,31
35,25,23
40,18,14
13,11,22
3,11,21
18,10,58
14,4,23
46,36,25
51,8,11
32,39,11
20,15,10
33,26,8
20,23,36
44,36,32
13,26,45
25,22,18
67,9,9
60,41,41
24,19,6
25,7,29
28,11,25
30,22,3
31,33,48
33,24,30
14,6,22
50,29,22
32,29,10
19,32,24
51,3,45
40,16,42
13,22,16
35,22,39
31,5,22
30,6,29
8,17,19
16,8,21
11,28,14
24,22,38
24,19,14
24,18,11
17,19,9
15,35,17
33,22,13
15,14,23
37,14,21
54,14,42
19,11,24
10,9,30
24,6,17
4,17,34
16,18,16
26,20,46
24,23,21
11,21,8
22,42,12
8,12,23
22,24,40
17,26,39
26,30,22
4,15,23
23,34,12
33,16,38
55,8,33
35,6,29
30,35,27
34,12,8
6,23,12
21,23,17
42,22,6
26,23,24
25,12,25
18,20,28
30,5,20
24,10,15
6,11,23
10,27,23
25,27,20
10,8,26
17,19,16
51,40,13
5,25,36
21,6,30
25,7,32
15,25,24
20,20,46
11,15,18
32,15,25
24,23,13
63,24,27
29,23,25
29,20,34
14,16,33
10,31,12
19,13,4
27,36,38
12,30,8
35,36,8
35,32,28
31,18,34
48,27,36
23,44,34
15,25,37
34,2,35
7,9,13
21,15,26
32,12,27
52,22,18
20,4,17
31,8,31
48,8,31
28,28,14
13,34,25
20,38,55
63,19,27
38,37,12
39,6,33
16,7,9
30,13,25
15,26,33
53,3,24
22,27,24
39,18,33
29,17,12
19,31,14
8,9,20
38,25,45
24,25,47
54,18,58
9,24,18
15,14,28
66,20,20
28,18,22
14,6,7
27,39,15
4,22,10
43,20,27
37,9,32
16,15,13
20,27,26
28,13,8
6,8,20
13,14,25
44,25,4
32,27,21
26,12,25
8,18,16
31,4,46
12,21,11
16,16,30
30,7,3
26,11,27
14,13,27
19,3,25
20,27,26
17,25,34
22,26,13
34,34,12
36,13,35
29,12,23
31,35,33
30,33,8
8,18,13
47,33,44
35,8,66
23,27,10
17,22,53
29,13,59
7,28,28
3,27,24
7,33,16
32,10,37
39,24,14
12,38,9
26,16,37
30,14,38
32,9,12
36,31,16
28,1,19
45,20,12
11,12,25
36,16,23
28,12,24
9,23,22
18,25,49
9,20,10
13,19,44
21,23,23
32,24,11
23,13,61
21,11,20
8,10,36
38,22,12
13,23,6
21,11,25
21,26,31
24,40,21
26,30,27
20,4,20
53,20,19
12,36,26
4,12,27
18,12,30
21,6,32
5,10,13
27,25,10
25,24,25
20,31,12
29,21,28
13,20,19
22,22,15
32,7,7
10,27,22
32,27,13
13,29,19
16,26,22
5,27,66
15,30,14
20,12,15
37,34,26
24,13,14
14,10,11
12,25,16
46,12,22
43,30,38
28,12,33
28,28,17
25,19,17
17,15,19
13,7,22
15,22,47
10,13,27
26,14,10
50,7,27
10,9,17
37,14,38
33,15,28
16,18,19
32,31,12
28,14,32
42,20,23
23,18,39
21,11,12
16,16,48
11,17,23
42,4,29
46,20,20
13,37,45
8,27,8
22,26,26
26,10,9
15,28,60
37,19,14
13,12,42
23,6,30
16,20,42
22,28,8
20,12,15
26,11,36
26,30,20
45,36,9
14,29,48
16,8,41
31,20,16
6,8,35
25,22,10
27,9,8
15,14,39
20,8,19
14,15,29
25,36,32
42,9,63
3,16,43
21,15,10
13,10,21
9,8,2
40,33,16
25,19,10
33,29,36
35,32,21
37,24,35
28,21,35
28,2,22
64,17,13
26,32,23
16,24,42
38,36,17
14,21,6
48,35,16
31,8,25
8,13,29
13,23,32
19,13,22
38,15,41
11,6,6
36,16,26
2,9,22
47,25,18
28,23,30
18,22,12
22,12,22
6,27,10
37,31,29
34,22,49
26,6,17
4,26,23
12,12,19
43,23,28
55,14,31
24,18,19
26,18,38
4,3,44
40,34,13
23,7,5
28,12,25
21,22,27
13,23,25
15,18,5
31,7,20
23,10,45
9,10,10
22,30,17
49,15,2
33,13,21
11,23,22
21,18,24
22,3,28
30,19,7
34,5,19
12,25,18
34,7,7
11,5,40
16,20,20
20,20,38
37,10,20
20,20,16
9,17,35
24,12,40
24,2,23
33,21,45
38,22,44
7,24,39
32,28,30
