No escape,Age-independant escape,Age-dependant escape
26,26.0,26.0
14,14.0,14.0
17,17.0,17.0
21,21.0,28.0
20,28.0,18.0
37,3.0,4.0
28,14.0,22.0
18,34.0,26.0
4,29.0,28.0
22,26.0,16.0
26,46.0,3.0
28,24.0,29.0
16,23.0,20.0
3,13.0,23.0
14,34.0,13.0
18,18.0,8.0
29,6.0,21.0
37,27.0,6.0
18,18.0,18.0
34,29.0,19.0
29,51.0,10.0
20,19.0,13.0
26,28.0,6.0
46,17.0,27.0
24,29.0,22.0
23,39.0,7.0
43,16.0,16.0
13,24.0,7.0
29,45.0,19.0
8,46.0,35.0
21,38.0,28.0
34,22.0,39.0
6,21.0,24.0
27,13.0,26.0
18,8.0,17.0
19,48.0,45.0
10,28.0,32.0
11,19.0,13.0
23,7.0,8.0
13,17.0,24.0
6,28.0,28.0
27,47.0,23.0
32,20.0,36.0
18,25.0,19.0
29,4.0,18.0
22,22.0,7.0
7,38.0,24.0
16,51.0,3.0
46,32.0,17.0
7,37.0,12.0
51,39.0,37.0
26,22.0,10.0
53,27.0,20.0
19,23.0,4.0
35,38.0,21.0
35,17.0,38.0
28,27.0,31.0
17,45.0,37.0
26,48.0,22.0
29,18.0,19.0
39,19.0,25.0
16,16.0,38.0
24,24.0,17.0
26,14.0,17.0
16,59.0,17.0
17,21.0,7.0
30,36.0,28.0
45,53.0,10.0
32,8.0,19.0
46,37.0,16.0
52,31.0,14.0
13,35.0,21.0
27,25.0,8.0
38,14.0,8.0
14,41.0,37.0
22,42.0,18.0
21,22.0,16.0
13,59.0,23.0
19,27.0,23.0
8,13.0,14.0
24,30.0,16.0
48,34.0,35.0
28,26.0,37.0
22,11.0,14.0
23,8.0,22.0
36,22.0,27.0
19,17.0,13.0
18,20.0,26.0
7,18.0,25.0
12,16.0,11.0
32,28.0,17.0
32,18.0,4.0
30,26.0,20.0
24,45.0,18.0
3,30.0,28.0
25,19.0,20.0
35,25.0,24.0
17,10.0,16.0
12,44.0,28.0
37,21.0,37.0
38,21.0,18.0
12,30.0,20.0
28,27.0,30.0
10,39.0,19.0
47,22.0,19.0
20,27.0,14.0
25,35.0,25.0
4,20.0,10.0
22,18.0,23.0
21,17.0,21.0
38,40.0,6.0
51,34.0,21.0
31,37.0,35.0
32,19.0,21.0
23,8.0,39.0
37,51.0,22.0
39,25.0,7.0
22,10.0,35.0
19,30.0,20.0
27,25.0,7.0
25,34.0,18.0
23,16.0,13.0
38,38.0,17.0
39,12.0,40.0
37,40.0,28.0
17,12.0,34.0
17,27.0,37.0
16,30.0,24.0
17,28.0,19.0
7,30.0,8.0
27,7.0,25.0
45,30.0,10.0
28,30.0,30.0
28,29.0,34.0
10,17.0,4.0
48,31.0,3.0
19,25.0,12.0
18,26.0,12.0
17,21.0,28.0
