Trap ID;Daughter;Cell cycle time (min)
2;0;
2;1;154
2;2;85
2;3;93
2;4;77
2;5;85
2;6;76
2;7;77
2;8;76
2;9;77
2;10;85
2;11;85
2;12;85
2;13;93
2;14;85
2;15;102
2;16;128
2;17;93
2;18;111
2;19;110
2;20;119
2;21;153
2;22;187
3;0;
3;1;102
3;2;94
3;3;76
3;4;85
3;5;85
3;6;94
3;7;76
3;8;94
3;9;102
3;10;76
3;11;85
3;12;85
3;13;85
3;14;94
3;15;85
3;16;76
3;17;94
3;18;110
3;19;128
3;20;93
3;21;128
3;22;161
3;23;255
3;24;468
3;25;1105
7;0;
7;1;86
7;2;76
7;3;68
7;4;68
7;5;68
7;6;77
7;7;85
7;8;85
7;9;85
7;10;93
7;11;94
7;12;127
7;13;145
7;14;170
7;15;280
7;16;1292
13;0;
13;1;94
13;2;68
13;3;76
13;4;136
13;5;85
13;6;94
13;7;93
13;8;111
13;9;229
13;10;400
16;0;
16;1;85
16;2;77
16;3;76
16;4;77
16;5;76
16;6;77
16;7;85
16;8;93
16;9;85
16;10;111
16;11;144
16;12;153
16;13;196
16;14;170
16;15;425
16;16;297
17;0;
17;1;93
17;2;94
17;3;85
17;4;119
17;5;93
17;6;77
17;7;119
17;8;85
17;9;85
17;10;85
17;11;110
17;12;119
17;13;102
17;14;102
17;15;153
17;16;136
17;17;111
17;18;323
17;19;476
17;20;263
21;0;
21;1;77
21;2;170
21;3;706
22;1;-553
22;2;85
22;3;77
22;4;76
22;5;77
22;6;85
22;7;85
22;8;85
22;9;93
22;10;111
22;11;127
22;12;323
22;13;315
22;14;408
22;15;680
22;16;603
24;0;
24;1;85
24;2;68
24;3;77
24;4;76
24;5;68
24;6;77
24;7;76
24;8;85
24;9;77
24;10;76
24;11;85
24;12;85
24;13;94
24;14;93
24;15;128
29;0;
29;1;94
29;2;110
29;3;204
29;4;213
29;5;221
29;6;688
30;0;
30;1;85
30;2;68
30;3;102
30;4;68
30;5;85
30;6;85
30;7;102
30;8;102
30;10;102
30;11;94
30;12;127
30;13;119
30;14;119
30;15;162
30;16;119
30;17;102
30;18;127
30;19;162
30;20;221
33;0;
33;1;76
33;2;85
33;3;77
33;4;85
33;5;85
33;6;85
33;7;110
33;8;94
33;9;119
33;10;85
33;11;93
33;12;94
33;13;110
33;14;111
33;15;119
33;16;93
33;17;145
33;18;212
33;19;102
33;20;561
36;0;
36;1;213
49;0;
49;1;85
49;2;68
49;3;85
49;4;68
49;5;77
49;6;59
49;7;77
49;8;85
49;9;85
49;10;93
49;11;119
49;12;145
49;13;297
49;14;315
49;15;671
49;16;2066
54;0;
54;1;85
54;2;77
54;3;76
54;4;77
54;5;68
54;6;59
54;7;77
54;8;68
54;9;76
54;10;68
54;11;85
54;12;85
54;13;77
54;14;85
54;15;76
54;16;85
54;17;94
54;18;102
54;19;93
54;20;119
54;21;153
54;22;128
54;23;119
54;24;144
54;25;578
54;26;391
54;27;298
57;0;
57;1;85
57;2;76
57;3;102
57;4;94
57;5;85
57;6;93
57;7;68
57;8;77
57;9;93
57;10;102
57;11;94
57;12;102
57;13;93
57;14;77
57;15;102
57;16;102
57;17;76
57;18;102
57;19;153
57;20;298
58;0;
58;1;85
58;2;77
58;3;85
58;4;68
58;5;85
58;6;68
58;7;85
58;8;76
58;9;60
58;10;76
58;11;77
58;12;76
58;13;85
58;14;94
58;15;93
58;16;111
58;17;127
58;18;153
58;19;306
61;0;
61;1;68
61;2;76
61;3;85
61;4;85
61;5;85
61;6;136
61;7;162
63;8;-740
63;0;111
63;1;76
63;2;85
63;3;94
63;4;170
63;5;603
63;6;952
74;0;
74;1;77
74;2;68
74;3;77
74;4;68
74;5;76
74;6;68
74;7;77
74;8;76
74;9;77
74;10;93
74;11;77
74;12;102
74;13;119
74;14;195
76;0;
76;1;85
76;2;68
76;3;68
76;4;77
76;5;76
76;6;77
76;7;85
76;8;76
76;9;77
76;10;110
76;11;94
76;12;110
76;13;136
81;0;
81;1;77
81;2;76
81;3;77
81;4;68
81;5;76
81;6;85
81;7;85
81;8;68
