Time (h) vs % clogging for  Chip 1 independent experiments (n=7). ;;;;;;;;;;;;;
Time (h);Experiment ID: 6;Time (h);Experiment ID: 10;Time (h);Experiment ID: 9;Time (h);Experiment ID: 5;Time (h);Experiment ID: 1;Time (h);Experiment ID: 8;Time (h);Experiment ID: 7
10,3;0,1;14,5;0,2;20;0,1;32;0,1;18;0,1;28;0,1;14,9;0
21,8;0,2;27,7;0,3;46;0,3;32;0,2;20;0,2;31;0,1;15,8;0
30;0,2;36,5;0,4;49;0,4;38;0,3;20;0,4;33;0,2;16;0
34,3;0,3;38,2;0,5;49;0,9;38;0,4;21;0,5;34;0,2;17,7;0
40,3;0,3;41,3;0,5;50;1,1;42;0,6;24;0,6;34;0,3;18,2;1
42,7;0,5;42,3;0,6;50;1,4;43;1;26;0,7;34;0,3;20,7;1
43,3;0,5;43,3;0,7;53;1,6;44;1,5;26;1;36;0,3;22,1;1
44;0,6;46,2;0,8;54;1,9;45;1,9;27;1,1;37;0,4;22,4;1
44,5;0,8;48,7;0,9;55;2;47;2;27;1,3;38;0,4;26;1
44,8;0,8;49;1,5;55;2,6;48;2,4;28;1,4;40;0,5;34,5;1
46,2;0,9;49,5;2,2;55;2,9;49;2,9;28;1,6;42;0,5;34,7;1
46,3;1;49,7;2,4;57;3,3;50;2,9;28;1,7;42;0,6;39,7;1
48,2;1;49,8;2,5;58;3,6;50;3,1;29;1,8;44;0,7;40,7;1
48,8;1,3;50;2,5;58;4;50;3,2;29;2;45;0,8;41,1;1
49,2;1,8;50,2;2,9;59;4,1;50;3,4;29;2,2;46;0,9;43,1;1
49,3;2,1;50,3;3;60;4,7;53;3,5;30;2,3;46;1;43,3;1
49,5;2,7;50,5;3,6;61;4,9;53;3,8;30;2,4;46;1;44,1;1
50,2;3,5;51,2;3,8;61;5,2;54;4;31;2,5;47;1,1;44,9;2
50,3;4,1;51,3;4;62;5,4;54;4,3;32;2,6;47;1,1;45,2;2
50,5;5,6;51,8;4;62;5,6;54;4,9;33;2,9;49;1,2;45,4;2
50,7;5,9;52,3;4,2;63;5,7;55;5,4;33;3;50;1,2;45,6;2
51;6,1;52,7;4,3;65;6,4;55;5,5;33;3,4;50;1,3;47,1;2
51,7;6,2;53,2;4,5;65;7,6;55;5,6;33;3,5;51;1,4;47,6;2
51,8;6,3;53,3;4,8;65;7,7;56;5,8;34;3,6;51;1,5;48;2
52;6,4;53,5;4,9;66;8,3;58;5,8;34;3,7;51;1,6;48,5;2
52,3;6,5;55,7;5,1;67;8,6;58;6;34;3,9;51;1,7;48,9;2
52,5;6,7;56;5,6;67;8,7;59;6,2;34;4;52;1,7;49,4;3
52,8;6,9;56,5;5,6;67;8,9;59;6,4;35;4,3;52;1,9;50,4;3
53,2;7;57,8;5,6;68;9;59;6,6;35;4,5;52;2;50,8;3
53,5;7,3;58,8;5,7;68;9,2;61;6,8;35;4,7;52;2;51,3;3
53,7;7,4;59,3;5,7;68;9,4;61;7,4;35;4,8;52;2,1;51,5;3
54,2;7,6;61,5;5,8;68;10,3;61;7,5;35;4,9;53;2,2;51,6;4
54,7;7,6;61,8;5,9;69;10,4;62;7,7;35;5,1;53;2,2;51,7;4
55;7,7;62,3;6;69;10,9;63;10,9;36;5,3;55;2,4;51,9;4
55,3;7,7;62,5;6;69;11,7;63;11,5;36;5,4;55;2,5;52,2;4
55,5;8;62,7;6,2;69;12,4;64;11,6;36;5,5;55;2,6;52,6;4
55,7;8,3;63,3;6,2;70;13,2;64;11,7;37;5,7;56;2,7;53,1;6
56;8,4;65,3;6,3;70;13,9;65;12;37;5,9;56;3;54,5;6
56,3;9,6;65,8;6,5;71;14,9;65;12,1;37;6;56;3,3;55;6
56,5;9,8;66,3;6,6;71;15,5;65;12,4;38;6,4;57;3,4;57,4;7
