WT-1,WT-2,WT-3,,"This table denotes the number of daughter cells per mother cell for each individual experiment (WT-1,  WT-2,  WT-3)"
23,13,17,,
26,13,11,,
17,18,9,,
11,17,26,,
17,14,15,,
21,25,10,,
4,7,31,,
16,15,27,,
16,13,28,,
7,13,16,,
20,18,10,,
21,17,12,,
2,16,13,,
17,12,12,,
28,12,15,,
21,14,22,,
20,21,24,,
8,10,14,,
8,13,23,,
15,17,23,,
14,9,22,,
14,12,20,,
14,4,11,,
12,13,14,,
15,19,26,,
17,25,25,,
15,18,20,,
14,15,21,,
16,17,26,,
11,13,10,,
14,14,6,,
12,3,17,,
25,8,22,,
9,12,23,,
20,13,32,,
18,15,14,,
14,21,13,,
17,14,10,,
11,12,12,,
10,16,16,,
7,22,15,,
11,19,22,,
17,15,4,,
12,21,27,,
20,22,19,,
14,19,21,,
32,14,28,,
30,23,8,,
11,15,16,,
21,13,14,,
9,10,15,,
11,18,13,,
20,13,11,,
14,13,9,,
9,20,7,,
13,16,17,,
31,26,16,,
27,20,25,,
17,19,18,,
20,14,19,,
21,13,11,,
15,12,28,,
20,31,15,,
25,14,22,,
31,17,19,,
19,19,8,,
31,40,16,,
20,4,17,,
12,12,14,,
17,28,16,,
15,19,21,,
6,13,15,,
19,11,24,,
9,10,18,,
19,12,16,,
12,29,18,,
14,22,20,,
22,19,14,,
20,12,13,,
28,12,38,,
14,23,13,,
15,18,16,,
15,12,37,,
15,12,13,,
13,22,17,,
17,14,18,,
14,23,10,,
29,16,11,,
12,26,17,,
14,18,13,,
31,17,27,,
16,19,28,,
13,24,14,,
24,15,12,,
14,27,22,,
18,15,26,,
30,14,10,,
20,13,3,,
16,12,14,,
18,13,17,,
25,14,9,,
15,14,22,,
12,12,11,,
9,15,11,,
8,7,25,,
13,20,16,,
15,10,16,,
9,8,30,,
23,8,,,
16,10,,,
27,12,,,
11,15,,,
34,9,,,
16,19,,,
12,12,,,
8,28,,,
11,20,,,
15,13,,,
10,14,,,
16,13,,,
19,13,,,
15,15,,,
11,28,,,
18,14,,,
13,10,,,
8,30,,,
21,15,,,
30,14,,,
31,29,,,
16,15,,,
24,26,,,
24,29,,,
24,12,,,
16,16,,,
11,17,,,
11,11,,,
13,23,,,
5,16,,,
14,16,,,
21,27,,,
14,9,,,
31,13,,,
23,18,,,
13,14,,,
27,18,,,
36,11,,,
26,20,,,
19,21,,,
10,13,,,
25,16,,,
23,17,,,
28,25,,,
16,16,,,
23,9,,,
35,32,,,
17,11,,,
19,12,,,
27,20,,,
27,10,,,
23,12,,,
12,15,,,
12,31,,,
21,19,,,
16,22,,,
17,19,,,
9,21,,,
15,16,,,
16,12,,,
17,13,,,
16,17,,,
32,18,,,
21,14,,,
14,21,,,
20,18,,,
22,25,,,
19,13,,,
38,22,,,
20,17,,,
13,28,,,
12,27,,,
8,12,,,
14,18,,,
11,18,,,
14,17,,,
14,16,,,
24,14,,,
27,14,,,
16,21,,,
19,29,,,
15,11,,,
14,13,,,
14,20,,,
20,29,,,
14,12,,,
11,20,,,
24,20,,,
10,24,,,
16,14,,,
2,36,,,
9,14,,,
21,12,,,
25,13,,,
23,21,,,
9,35,,,
10,28,,,
19,16,,,
10,17,,,
5,21,,,
24,,,,
11,,,,
26,,,,
16,,,,
12,,,,
17,,,,
10,,,,
