tor1-1,tor1-2,,"This table denotes the number of daughter cells per mother cell for each individual experiment (tor1-1, tor1-2)"
19,25,,
40,22,,
31,19,,
14,19,,
28,16,,
47,36,,
16,21,,
16,17,,
13,24,,
14,16,,
22,26,,
50,43,,
51,39,,
21,28,,
42,16,,
14,28,,
8,29,,
30,26,,
8,27,,
18,10,,
10,22,,
17,18,,
14,31,,
34,15,,
23,23,,
33,18,,
20,27,,
21,19,,
10,17,,
16,22,,
16,30,,
27,40,,
30,15,,
24,29,,
17,21,,
17,24,,
34,14,,
39,26,,
37,13,,
20,13,,
29,18,,
19,35,,
33,30,,
14,33,,
14,20,,
35,10,,
10,32,,
32,18,,
15,11,,
31,15,,
31,20,,
28,17,,
9,14,,
4,23,,
17,24,,
33,15,,
10,15,,
24,25,,
15,16,,
59,19,,
9,7,,
55,30,,
15,23,,
23,32,,
14,21,,
29,20,,
19,28,,
39,19,,
18,22,,
20,17,,
27,19,,
17,30,,
26,26,,
13,25,,
6,30,,
17,34,,
9,21,,
40,19,,
35,18,,
20,28,,
13,19,,
17,19,,
24,15,,
19,18,,
14,18,,
26,25,,
23,29,,
45,35,,
26,28,,
31,23,,
20,14,,
15,14,,
24,25,,
28,18,,
33,15,,
23,22,,
45,14,,
17,10,,
37,3,,
28,31,,
47,35,,
16,17,,
30,24,,
11,17,,
25,19,,
33,20,,
47,20,,
36,36,,
24,32,,
15,18,,
19,33,,
16,18,,
15,11,,
28,29,,
29,29,,
38,28,,
41,27,,
19,17,,
42,,,
9,,,
13,,,
35,,,
12,,,
17,,,
23,,,
8,,,
26,,,
27,,,
23,,,
12,,,
10,,,
18,,,
6,,,
31,,,
